contract,pool
0xd4b88df4d29f5cedd6857912842cff3b20c8cfa3,100dai
0xfd8610d20aa15b7b2e3be39b396a1bc3516c7144,1000dai
0x07687e702b410fa43f4cb4af7fa097918ffd2730,10000dai
0x23773e65ed146a459791799d01336db287f25334,100000dai
0x22aaa7720ddd5388a3c0a3333430953c68f1849b,5000cdai
0x03893a7c7463ae47d46bc7f091665f1893656003,50000cdai
0x2717c5e28cf931547b621a5dddb772ab6a35b701,500000cdai
0xd21be7248e0197ee08e0c20d4a96debdac3d20af,5000000cdai
0x4736dcf1b7a3d580672cce6e7c65cd5cc9cfba9d,100usdc
0xd96f2b1c14db8458374d9aca76e26c3d18364307,1000usdc
0x169ad27a470d064dede56a2d3ff727986b15d52b,100usdt
0x0836222f2b2b24a3f36f98668ed8f0b38d1a872f,1000usdt
0x178169b423a011fff22b9e3f3abea13414ddd0f1,0.1wbtc
0x610b717796ad172b316836ac95a2ffad065ceab4,1wbtc
0xbb93e510bbcd0b7beb5a853875f9ec60275cf498,10wbtc
0x12D66f87A04A9E220743712cE6d9bB1B5616B8Fc,eth0.1
0x47CE0C6eD5B0Ce3d3A51fdb1C52DC66a7c3c2936,eth1
0x910Cbd523D972eb0a6f4cAe4618aD62622b39DbF,eth10
0xA160cdAB225685dA1d56aa342Ad8841c3b53f291,eth100